nombre,linea,tag,formato,ingredientes_activos,precio_eur,precio_individual_eur,ahorro_eur,paypal_id,cart_key,imagen,descripcion
ICD Moisture Cleansing Oil,Limpieza,Limpieza,Aceite limpiador · 145 ml / 4.90 fl. oz.,Centella BYoungPool · Nanoliposomas,40.00,,, 7UAMLABWREAW6,7UAMLABWREAW6,imagenes/ICD-Moisture-Cleansing-Oil.webp,"Un aceite sedoso de grado profesional diseñado para disolver suavemente el maquillaje y las impurezas. Su fórmula hidrata profundamente mientras limpia, dejando un velo de suavidad incomparable."
ICD Dermatology First Package,Tratamiento,Pack Dúo,Booster 130 ml + Sérum 45 ml,Centella BYoungPool · Nanoliposomas,109.00,,,22Z9M475YYFNY,22Z9M475YYFNY,imagenes/ICD-Dermatology-First-Package.webp,"El dúo dinámico RIMAN. El Booster satura la piel de hidratación y prepara el camino para los activos. El Sérum concentrado penetra en capas profundas para restaurar la vitalidad celular."
ICD Dermatology Cream,Tratamiento,Crema,Crema hidratante · 50 ml / 1.69 fl. oz.,Centella BYoungPool · Nanoliposomas,72.00,,,FR2YXL8L6W9FC,FR2YXL8L6W9FC,imagenes/ICD-Dermatology-Cream.webp,"Crema de hidratación intensiva que redefine el contorno y aporta densidad. Hidrata en profundidad, mejora la textura y refuerza la protección natural de la piel. La más icónica de la colección."
ICD Calming Balance Gel,Tratamiento,Calmante,Gel equilibrante · 100 ml / 3.38 fl. oz.,Centella BYoungPool · Oro 24k · Nanoliposomas,39.00,,,TAKYKNK6XFRUC,TAKYKNK6XFRUC,imagenes/ICD-Calming-Balance-Gel.webp,"Un bálsamo en gel que equilibra el pH y calma las pieles más exigentes. Reduce rojeces e irritaciones, aporta confort inmediato e hidratación profunda a la piel reactiva o sensible."
ICD Collagen 100 Melting Mask,Tratamiento,Mascarilla,Mascarilla · Colágeno puro 800.000 ppm,Colágeno puro · Colágeno hidrolizado 200.000 ppm,120.00,,,8S633X7WV7AX2,8S633X7WV7AX2,imagenes/ICD-Collagen-100-Melting-Mask.webp,"El cenit de la firmeza. Una revolución antiedad que se funde directamente en la dermis restaurando la elasticidad perdida y suavizando las líneas de expresión."
ICD Two-Phase Oil Mist,Tratamiento,Bruma,Bruma bifásica · 50 ml / 1.69 fl. oz.,Agua Energética de Jeju · Nanoliposomas,39.00,,,TAKYKNK6XFRUC,TAKYKNK6XFRUC_mist,imagenes/ICD-Two-Phase-Oil-Mist.webp,"Bruma bifásica que aporta un resplandor instantáneo y protección en cualquier momento del día. Agua filtrada por lava volcánica de Jeju. Agitar antes de usar."
ICD Multi Stick Balm,Tratamiento,Multiusos,Bálsamo sólido · 9 g / 0.31 oz.,Centella BYoungPool · Nanoliposomas,35.00,,,4UN874GXC7YU2,4UN874GXC7YU2,imagenes/ICD-Multi-Stick-Balm.webp,"Nutrición portátil de alta precisión para zonas críticas: ojos, labios y líneas de expresión. Hidratación intensiva en cualquier lugar, cuando lo necesites."
Sheer Glow BB,Protección,BB Cream,BB Cream · 30 g / 1.05 oz.,Filtros solares · Ingredientes hidratantes,35.00,,,FASYZZPDKCJD4,FASYZZPDKCJD4,imagenes/Sheer-Glow-BB.webp,"El acabado Glow definitivo. Unifica el tono con una transparencia elegante, proporcionando una apariencia saludable y radiante que respira con la piel."
Lote completo ICD Dermatology,Pack,Pack Colección,Colección completa ICD Dermatology,Todos los activos ICD,295.00,489.00,194.00,LMZRFH2M7PVK4,LMZRFH2M7PVK4,imagenes/Lote-completo-ICD-Dermatology.webp,"Optimizado para maximizar la regeneración. Incluye el trío fundamental más complementos esenciales, presentado con detalles exclusivos de cortesía que elevan el acto de compra a un regalo inolvidable."
Kit Total RIMAN PRO,Pack,Pack Estrella,Kit completo 11 productos,Protocolo profesional completo ICD,Consultar,,,,,imagenes/KIT-TOTAL-RIMAN-PRO.webp,"La experiencia definitiva para una transformación total. Este set exclusivo incluye el protocolo profesional completo para una rutina ICD Dermatology en casa."
